ticket,cohort,person_id,household_id,name_transcribed,stratum,starting_grade,letter_list_dates,research_outcome,ladder_rule,candidate_id,source_ids,evidence_seen,refusals_seen,summary
T-0509,pass_14,elston_daniel,hh_elston_daniel,Daniel Elston,established_profile,attested,,corroborated_enrichment,R1,,chicago_democrat_1833_11_26;fergus_chicago_directory_1839;uiuc_daniel_elston_papers,address_backproj;fergus_1839;fergus_1839_election;fergus_1843;newspaper_register;norris_1844;spend_crosswalk,spend_crosswalk,"The 1837 election return prints 'Daniel Elston' whole. The University of Illinois finding aid, read in pass 3 and never written to a ledger, identifies the English merchant who reached Chicago in 1833, made soap and candles and later ran a distillery and brewery — the same trade the paper prints for him in its first issue, 26 November 1833."
T-0509,pass_14,clark_erastus,hh_clark_erastus,Erastus Clark,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,cand_e_clark_norris_1844,chicago_democrat_1833_1835;norris_directory_1844,fergus_1843;newberry_leads;newspaper_register;norris_1844;norris_adv;old_settler_deaths;spend_crosswalk,fergus_1843;norris_1844;norris_adv;old_settler_deaths;spend_crosswalk,"The Norris 1844 agreement is surname plus the initial E. against one of the commonest surnames in the book, and the entry prints no trade that could discriminate. Nine years and a bare initial are not an identification."
T-0509,pass_14,alden_ebenozer,hh_alden_ebenozer,Ebenozer Alden,letter_list_only_uncertain,inferred,1834-07-09,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,"Nothing reviewed in this pass corroborates Ebenozer Alden from outside the record already held: the papers hold the name only on the post-office return(s) of 1834-04-01, 1834-07-09 to 1834-07-16."
T-0509,pass_14,fullerton_alexander,hh_fullerton_alexander,Alexander N. Fullerton,established_profile,attested,,corroborated,R2,,chicago_voter_lists_1833_1835_irad;goodman_history_cook_county_early,fergus_1839;fergus_1839_election;fergus_1843;newberry_leads;norris_1844;spend_crosswalk;voter_lists,newberry_leads;spend_crosswalk,"Matched on the 1833 tax list as 'Fullerton, Alexander', one bearer of the surname considered. The Cook County history read in pass 3 places him in the town's legal and municipal record including the 1835 town-clerk chronology; pass 3 graded that alone an enrichment, and the tax list lifts it."
T-0509,pass_14,codding_sally,hh_codding_sally,Sally Mr Codding,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates Sally Mr Codding from outside the record already held: the papers hold the name only on the post-office return(s) of 1835-07-01.
T-0509,pass_14,tuller_elam,hh_tuller_elam,Elam Tuller,letter_list_only_uncertain,inferred,1834-01-28;1834-04-16,corroborated_enrichment,R1,,chicago_democrat_1833_1835;whiteside_elam_tuller,fergus_1843;newspaper_register;norris_1844;norris_adv,fergus_1843;norris_1844;norris_adv,"Carried forward from pass 2, which read the Whiteside County biography and never completed a ledger: it puts the Tuller family in Chicago in July 1833 and gives the Connecticut origin and the farmer, mechanic and steam-engine manufacturing background. Two letter returns support the chronology. The arrival is the biography's, and is carried as such."
T-0509,pass_14,gale_stephen_f,hh_gale_stephen_f,Stephen F. Gale,established_profile,attested,,corroborated,R2,,chicago_voter_lists_1833_1835_irad;fergus_chicago_directory_1839;goodman_history_cook_county_early;jsp_illinois_statutes_gale_imprint,address_backproj;fergus_1839;fergus_1843;newberry_leads;norris_1844;old_settler_deaths;spend_crosswalk;voter_lists,old_settler_deaths;spend_crosswalk,"The 1833 poll list prints 'Gale, Stephen F.' with the middle initial, and Fergus 1839 prints 'Gale, Stephen F., bookseller and stationer, 159 Lake st' — the same trade the 1839 statute imprint carries. A contemporary list and a continuous trade."
T-0509,pass_14,comstock_h_h,hh_comstock_h_h,H. H. Comstock,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;michigan_hh_comstock_history,fergus_1843;newberry_leads;newspaper_register;norris_1844;norris_adv,fergus_1843;newberry_leads;norris_1844;norris_adv,"H. H. Comstock appears in Kalamazoo County pioneer history around 1834. Exact initials and regional chronology are useful, but competing Michigan geography and no migration bridge bar a merge. [Read for pass 03 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,benn_eli,hh_benn_eli,Eli Benn,letter_list_only_uncertain,inferred,1834-04-08,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates Eli Benn from outside the record already held: the papers hold the name only on the post-office return(s) of 1834-04-08.
T-0509,pass_14,goss_o,hh_goss_cobb,O. Goss,established_profile,attested,,no_corroboration,R4,,andreas_1884_v1;chicago_american_1835;chicago_democrat_1833_11_26,fergus_1843;newspaper_register;norris_1844,fergus_1843;norris_1844,"Nothing reviewed in this pass corroborates O. Goss from outside the record already held: the fergus chicago directory 1843, norris directory 1844 agreement is a surname-only refusal; the papers carry the name 1835-06-13."
T-0509,pass_14,cook_rowland_i,hh_cook_rowland_i,Rowland I!. Cook,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,fergus_1843;newberry_leads;newspaper_register;norris_1844;norris_adv;old_settler_deaths,fergus_1843;newberry_leads;norris_1844;norris_adv;old_settler_deaths,"Rowland I!. Cook is held as a candidate and not asserted: 12 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the chicago tribune 1882 04 25 old settler deaths, fergus chicago directory 1843, newberry genealogical index, norris directory 1844 agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1834-04-16, 1835-07-01."
T-0509,pass_14,filer_elihu_d,hh_filer_elihu_d,Elihu D. Filer,letter_list_only_uncertain,inferred,1834-07-09,candidate_identity,R3,,chicago_democrat_1833_1835;whs_elihu_filer_house,newspaper_register,,"Racine histories identify exact-name Elihu D. Filer as an early settler and carpenter, but no record bridges the Chicago letter to the Racine man. Reprinted OCR variants are not separate people. [Read for pass 02 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,greene_john,hh_greene_john,Major John Greene,established_profile,attested,,candidate_identity,R3,,andreas_1884_v1;drloih_fort_dearborn;newberry_genealogical_index,newberry_leads,,Major John Greene is held as a candidate and not asserted: 2 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers.
T-0509,pass_14,cooley_edward_v,hh_cooley_edward_v,Edward V Cooley,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,fergus_1843;newberry_leads;newspaper_register;norris_1844,fergus_1843;norris_1844,"Edward V Cooley is held as a candidate and not asserted: 4 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the fergus chicago directory 1843, norris directory 1844 agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1835-07-01."
T-0509,pass_14,sen_elijah_wentworth,hh_sen_elijah_wentworth,Elijah Wentworth sen.,letter_list_only_uncertain,inferred,1834-07-02,corroborated_enrichment,R1,,chicago_democrat_1833_1835;kinzie_waubun_1856;nwchicago_elijah_wentworth,newspaper_register,,"Carried forward from pass 2. Local history and Wau-Bun identify Elijah Wentworth Sr. as the Wolf Point tavern keeper who later kept at Sand Ridge; the 'sen.' of the transcription, the occupation and the chronology resolve him against his son. What is NOT established is presence in the platted town on the scene date — Sand Ridge is not Wolf Point."
T-0509,pass_14,hamilton_richard_j,hh_hamilton_richard_j,Richard Jones Hamilton,established_profile,attested,,corroborated,R2,,chicago_voter_lists_1833_1835_irad;goodman_history_cook_county_hamilton,fergus_1839;fergus_1843;newberry_leads;norris_1844;norris_adv;spend_crosswalk;voter_lists,fergus_1843;norris_1844;norris_adv;spend_crosswalk,"The 1833 poll ('Hamilton, R. J.'), the 1833 tax list and the 1834 poll (both 'Hamilton, Richard J.') all match, one bearer of the surname considered. The Cook County history read in pass 2 gives the offices — clerk and recorder from the county's organisation in 1831, later probate judge, treasurer and school commissioner — and pass 2 never wrote it into a ledger."
T-0509,pass_14,covell_thomas_r,hh_covell_thomas_r,Thomas R. Covell,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;lasalle_thomas_covell,newspaper_register,,"A county history says Thomas R. Covell moved to Salt Creek, Cook County, about 1833 after work as trader and mill builder. Exact middle initial and migration make a high-confidence candidate, not town residence. [Read for pass 02 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,covalt_enos,hh_covalt_enos,Enos Covalt,letter_list_only_uncertain,inferred,1835-05-20,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates Enos Covalt from outside the record already held: the papers hold the name only on the post-office return(s) of 1835-05-20.
T-0509,pass_14,harmon_charles_l,hh_harmon_brothers,Charles Loomis Harmon,established_profile,attested,,corroborated,R2,,chicago_voter_lists_1833_1835_irad;fergus_chicago_directory_1839,fergus_1839_election;fergus_1843;newberry_leads;norris_1844;norris_adv;old_settler_deaths;spend_crosswalk;voter_lists,norris_1844;old_settler_deaths;spend_crosswalk,"The 1834 poll prints 'Harmon, C. L.' and the 1837 election return prints 'Chas. L. Harmon': the same two initials against a surname whose three bearers the voter crosswalk weighed before matching. Contemporary and independent of the post office."
T-0509,pass_14,curtenius_fredk,hh_curtenius_fredk,Fred'k. Curtenius,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;michigan_frederick_curtenius,newspaper_register,,"Frederick William Curtenius is a possible candidate who moved to Michigan and farmed at Grand Prairie in 1835. The middle initial conflicts and no Chicago bridge was found. [Read for pass 02 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
