building_id,research_record_id,research_year,canonical_name,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,confidence,needs_review
CHI-POSTFIRE-CHI1873-015,CHI1873-015,1873,Alhambra Hotel,1873,1873,year-only,1873,,,,demolished,,,,,hotel,hotel,,John Keller,stone front,5,,new_construction,,Masonry hotel construction; direct code-compliance evidence not located.,Built in 1873 by John Keller and opened October 1 by William L. Newman; 112 rooms. Address and full canonical spelling need directory confirmation because the scan heading is degraded.,medium,true
CHI-POSTFIRE-CHI1873-011,CHI1873-011,1873,Briggs House II,1871,1873,approximate,1873,,,,demolished,Randolph Street at Fifth Avenue,,,,hotel,hotel,,Mr. Moss,red brick with stone; six stories,6,,reconstruction,pre-fire Briggs House on same site,Masonry replacement begun immediately after the fire; direct code-compliance evidence not located.,"Andreas says construction commenced immediately after the fire and the hotel reopened in 1873, but does not explicitly state the completion year; recorded as approximate and reviewable. Dimensions about 80 by 144 feet; reported building cost $190,000.",medium,true
CHI-POSTFIRE-CHI1873-044,CHI1873-044,1873,Burr School,1873,1873,year-only,1873,,,,demolished,,,,,school,public school,,Chicago Board of Education,brick; furnaces,3,,new_construction,,Brick public-school construction in the post-fire expansion period; code-specific evidence not stated.,"Andreas's construction table records a 71-by-81-foot three-story brick building heated by furnaces with 758 sittings and total value $26,500.",high,true
CHI-POSTFIRE-CHI1873-004,CHI1873-004,1873,Busby and Stuart Building,,1873,year-only,,,,,demolished,Crosby's Opera House site; Washington Street between State and Dearborn Streets,,,,commercial building,commercial,,Busby and Stuart,,,,reconstruction,Crosby's Opera House site,Permanent commercial rebuilding in the burned district; no direct code-compliance statement located.,Andreas lists it among prominent 1873 completions and explicitly identifies the old Crosby Opera House site.,medium,true
CHI-POSTFIRE-CHI1873-049,CHI1873-049,1873,Chicago Gas Light and Coke Company Bridgeport Works,1873,1873,year-only,1873,,,,demolished,foot of Deering Street in Bridgeport,,,,gas works,municipal gas production,,Chicago Gas Light and Coke Company,industrial gas-production plant,,,new_construction,,Industrial utility outside the principal burned core; fire-limit building-code implications were not established.,"Company bought the site and erected works in 1873 to serve the southwestern city at a reported cost of $150,000; Andreas says it was connected by mains to the other works.",high,false
CHI-POSTFIRE-CHI1873-032,CHI1873-032,1873,Chicago Public Library Book Room in the Old Water Tank,1872,1873,year-only,1873,,,,demolished,southeast corner LaSalle and Adams Streets,,,,adaptive-reuse library,public library book room and reading room,,City of Chicago; Chicago Public Library,surviving circular iron water tank,,,conversion,surviving pre-fire water tank,"Adaptive reuse of fire-surviving infrastructure, not new-code construction.","Chicago Public Library opened January 1, 1873 in the circular water tank. Recorded as a conversion/opening, not a newly erected building.",high,false
CHI-POSTFIRE-CHI1873-003,CHI1873-003,1873,Chicago Times Building,1872,1873,year-only,1873,,,,demolished,corner Washington Street and Fifth Avenue,corner Washington and Wells Streets,,,newspaper office and printing house,newspaper production and offices,James H. Willett,Chicago Times,masonry newspaper building,,,reconstruction,pre-fire Times facilities,Andreas presents it as an illustration of efforts toward fire-resistant post-fire construction; the claim is not upgraded to modern fireproof status.,Andreas and Chamberlin list it among 1873 completions; an October 1872 contemporary construction account identifies the architect and corner location.,high,false
CHI-POSTFIRE-CHI1873-028,CHI1873-028,1873,Church of the Messiah,1872,1873,year-only,1873,,,,demolished,Michigan Avenue and Twenty-third Street,,,,church,Unitarian worship,,Church of the Messiah congregation,,,,new_construction,,Permanent masonry-era church following post-fire institutional relocation; code specifics not stated.,"Foundation stone laid fall 1872, cornerstone May 13, 1873, dedicated November 16, 1873; auditorium seated 800 and total cost about $90,000.",high,false
CHI-POSTFIRE-CHI1873-010,CHI1873-010,1873,Clifton House II,1873,1873,year-only,1873,,,,demolished,northwest corner Wabash Avenue and Monroe Street,,,,hotel,hotel,,W. A. Jenkins and Ira Holmes,fine brick; six stories above basement,6,,reconstruction,pre-fire Clifton House; temporary Clifton at Washington and Halsted,Brick replacement in the fire district; source gives no ordinance-specific claim.,"Completed in the latter part of 1873 and opened that year; 80 feet on Wabash by about 180 feet deep, 225 rooms, building cost $237,400 and furniture $105,000.",high,false
CHI-POSTFIRE-CHI1873-018,CHI1873-018,1873,Clybourn Place Bridge,1873,1873,year-only,,,,,replaced,Clybourn Place crossing of the North Branch,,,,movable bridge,transportation infrastructure,,City of Chicago,combination Howe truss with iron turntable,,,infrastructure,,A permanent municipal transport improvement; not a building-code case.,"Built in 1873; length 140 feet and cost $13,700.",high,false
CHI-POSTFIRE-CHI1873-050,CHI1873-050,1873,Cook County Insane Asylum 1873 addition,1873,1873,year-only,1873,,,,demolished,Cook County farm near the County Infirmary,,,,institutional complex addition,psychiatric care,,Cook County,brick addition and added fourth story,4,,addition,Cook County Insane Asylum building of 1870,Institutional masonry enlargement; code-specific fire-resistance evidence not stated.,"A large addition was constructed and a fourth story added to the original building in 1873, increasing capacity to about 350 patients. Recorded as a phase of the asylum complex rather than a separate institution.",high,true
CHI-POSTFIRE-CHI1873-040,CHI1873-040,1873,First Methodist Episcopal Church Block IV,1872,1873,year-only,1873,1922,year-only,redevelopment,demolished,southeast corner Clark and Washington Streets,,,,mixed-use church and commercial block,Methodist worship; stores and offices,Edward Burling; Dankmar Adler,First Methodist Episcopal Church,masonry commercial block enclosing auditorium,,,reconstruction,First Methodist Episcopal Church property destroyed in 1871,"Post-fire mixed-use masonry replacement; commercial rents supported the congregation, while source evidence does not establish full fireproof construction.",Plans were complete by May 1872 and the 1874 directory locates the completed church block. The 1873 life-span assignment is retained with review because an exact dedication date was not located.,medium,true
CHI-POSTFIRE-CHI1873-022,CHI1873-022,1873,Fulton Street Methodist Episcopal Church Chapel,1873,1873,year-only,1873,,,,demolished,corner Fulton Street and Artesian Avenue,,,,chapel,Methodist worship,,Fulton Street Methodist Episcopal Church,,,,new_construction,,Outside the principal burned core; no fire-code inference.,"Building began August 9, was completed in October at a cost of $4,000, and was dedicated November 2, 1873.",high,false
CHI-POSTFIRE-CHI1873-021,CHI1873-021,1873,Grace Methodist Episcopal Church,1872,1873,year-only,1873,,,,demolished,LaSalle Avenue and Locust Street,,,,church,Methodist worship,,Grace Methodist Episcopal Church,Gothic; masonry edifice,,,reconstruction,Grace Methodist Episcopal Church destroyed in 1871 fire,More substantial replacement after a temporary post-fire chapel; source does not establish code details.,"Rebuilding began about mid-1872 and dedication occurred May 4, 1873; cost including lot and organ about $100,000; main room seated 1,500.",high,false
CHI-POSTFIRE-CHI1873-023,CHI1873-023,1873,Grace Presbyterian Church,1873,1873,year-only,1873,,,,demolished,Vincennes Avenue,,,,church,Presbyterian worship,,Grace Presbyterian Church,,,,new_construction,,No post-fire code claim; this was new south-side congregational construction.,"A lot was purchased and a building erected and dedicated July 27, 1873; the congregation later united into Sixth Presbyterian Church.",high,true
CHI-POSTFIRE-CHI1873-008,CHI1873-008,1873,Grand Pacific Hotel II,1871,1873,year-only,1873,,,,demolished,"block bounded Jackson, Quincy, LaSalle and Clark Streets",,,,hotel,hotel,W. W. Boyington; John A. Rice (operational guidance),Pacific Hotel Company,masonry hotel,6,,reconstruction,Grand Pacific Hotel I destroyed in 1871 fire,"Rebuilding began with urgency before plans were complete; the replacement was larger and costlier, but the source warns that 'fireproof' remained an unsettled claim.",Completed and opened in June 1873. Andreas reports a cost near $1 million in its architecture list and describes the reconstruction as guided operationally by John A. Rice.,high,false
CHI-POSTFIRE-CHI1873-053,CHI1873-053,1873,Holy Trinity Polish Church I,1873,1873,year-only,1873,1905,approximate,replaced,demolished,Noble Street area,1118 N Noble Street,,,church,Polish Catholic worship,,Holy Trinity Polish congregation,,,,new_construction,,Neighborhood church outside the principal burned commercial core; no ordinance-level fire-code evidence found.,Scholarly history states that the first church was built in 1873. It must not be conflated with the extant monumental church begun in 1905 and completed in 1906; precise first-building parcel and demolition date need parish-archive review.,medium,true
CHI-POSTFIRE-CHI1873-039,CHI1873-039,1873,Illinois Staats-Zeitung Building,1872,1873,year-only,1873,1962,year-only,redevelopment,demolished,northeast corner Fifth Avenue and Washington Street,northeast corner Wells and Washington Streets,,,newspaper office and commercial building,newspaper printing; offices; banking,Bauer & Loebnitz,A. C. Hesing; Illinois Staats-Zeitung Company,cut limestone front; Italian Renaissance; presses in basement,6,90,reconstruction,Illinois Staats-Zeitung premises destroyed in 1871,Contemporary plans described substantial stone construction but do not establish comprehensive fireproofing; a later two-story fireproof addition was separate.,The newspaper reported taking full possession by April 8 1873. Dimensions were 40 feet on Washington by 110 on Fifth Avenue with about 30 offices and one elevator.,high,false
CHI-POSTFIRE-CHI1873-019,CHI1873-019,1873,Inter-State Industrial Exposition Building,1873,1873,year-only,1873,1890,year-only,redevelopment,demolished,Lake Front at Michigan Avenue and Adams Street,,,,exposition hall,industrial and art exposition,W. W. Boyington,Inter-State Industrial Exposition investors,large iron-and-glass exposition hall,,,new_construction,,A showpiece of post-fire recovery; its construction system and temporary-exposition character should not be generalized to ordinary code compliance.,"Opened September 25, 1873. Art Institute archive metadata gives approximately 200 by 800 feet and more than 300 exhibitors; the official catalogue is contemporary evidence.",high,false
CHI-POSTFIRE-CHI1873-045,CHI1873-045,1873,Jones School II,1873,1873,year-only,1873,1874,year-only,fire,demolished,,,,,school,public school,,Chicago Board of Education,brick; steam heat,3,,reconstruction,Jones School destroyed in 1871 fire,Brick municipal replacement after the fire; the building's destruction the next year shows that masonry did not eliminate fire vulnerability.,"Andreas's table records a 76-by-84-foot three-story brick building with 976 sittings and value $42,000; narrative says it was occupied only one year before burning in 1874.",high,true
CHI-POSTFIRE-CHI1873-046,CHI1873-046,1873,King School,1873,1873,year-only,1873,,,,demolished,,,,,school,public school,,Chicago Board of Education,brick; furnaces,3,,new_construction,,Brick public-school construction in the post-fire expansion period; code-specific evidence not stated.,"Andreas's table records a 71-by-81-foot three-story brick building with 1,004 sittings and total value $27,000.",high,true
CHI-POSTFIRE-CHI1873-036,CHI1873-036,1873,LaSalle Building,1872,1873,year-only,1873,1908,year-only,redevelopment,demolished,northwest corner LaSalle and Madison Streets,2 N LaSalle Street,,,commercial bank and office building,banking and offices,Dixon & Hamilton,B. E. Gallup; Charles Hitchcock,Buena Vista sandstone; plate glass; iron and zinc cresting,,,reconstruction,,A contemporary 1873 account explicitly promoted it as fireproof; the database records that historical claim without asserting modern fireproof performance.,"Completed for occupancy after being four stories high in October 1872. A contemporary description gives dimensions of about 53 by 81 feet and cost near $200,000; Chamberlin includes it among 1873 completions.",high,false
CHI-POSTFIRE-CHI1873-035,CHI1873-035,1873,"Lake Shore & Michigan Southern and Chicago, Rock Island & Pacific Passenger Depot",1871,1873,year-only,1873,1901,year-only,replaced,demolished,southwest corner LaSalle and Van Buren Streets,LaSalle Street at Van Buren Street,,,railroad passenger station,passenger depot and railroad offices,W. W. Boyington,"Lake Shore & Michigan Southern Railway; Chicago, Rock Island & Pacific Railroad",Joliet limestone masonry depot and train shed,6,85,reconstruction,joint depot destroyed in the 1871 fire,Large permanent stone replacement within the post-fire reconstruction zone; contemporary sources still caution that material alone did not make a structure wholly fireproof.,"Opened June 1 1873; Chamberlin reports a cost of $750,000. The six-story front block and long train shed reused the pre-fire terminal site.",high,false
CHI-POSTFIRE-CHI1873-002,CHI1873-002,1873,Lakeside Building,1872,1873,year-only,,1926,year-only,redevelopment,demolished,southwest corner Clark and Adams Streets,,,,publishing and commercial building,"printing, publishing, offices",Cass Chapman,Lakeside Publishing and Printing Company,Cleveland sandstone exterior; six stories and basement,6,,reconstruction,pre-fire Lakeside Building on same site,Rebuilt with an explicit contemporary fireproof objective; Andreas identifies it as a Gothic-revival post-fire building.,"Andreas lists completion in 1873. Contemporary 1872 notices transcribed by Chicagology document active rebuilding, dimensions, material, architect attribution, and owner; a 1873 directory confirms occupancy.",high,false
CHI-POSTFIRE-CHI1873-026,CHI1873-026,1873,New England Congregational Church Stone Chapel,1872,1873,year-only,1873,,,,demolished,old chapel grounds behind the church lot,,,,chapel,Sunday school and congregational gatherings,,New England Congregational Church,stone chapel,,,reconstruction,New England Church property destroyed in 1871 fire,Permanent stone replacement following a temporary wooden post-fire structure.,"The scan says construction began early in the spring following the post-fire fundraising narrative; first service was September 14, 1873 and dedication September 23. Start year retained as 1872 but needs chronology review.",medium,true
CHI-POSTFIRE-CHI1873-009,CHI1873-009,1873,Palmer House II,1871,1873,year-only,1873,,,,demolished,State Street frontage between Monroe and Quincy; extending toward Wabash Avenue,,,,hotel,hotel,John M. Van Osdel,Potter Palmer,masonry hotel,6,,reconstruction,Palmer House I and foundations surviving the 1871 fire,"Andreas treats it as a leading effort to make the new city fire resistant, while explicitly noting that a generally accepted definition of fireproof construction did not yet exist.","Opened in late fall 1873. Andreas reports 76,550 square feet of ground coverage and estimated building cost of about $2 million, plus furnishings; later enlargements must not be attributed to the 1873 phase.",high,false
CHI-POSTFIRE-CHI1873-001,CHI1873-001,1873,Reaper Block,1872,1873,year-only,,1957,year-only,redevelopment,demolished,northeast corner Clark and Washington Streets,72-84 W Washington Street,,,commercial office block,stores and offices,John M. Van Osdel,Cyrus H. McCormick,stone-front masonry,6,65,reconstruction,Larmon Block site,Permanent masonry rebuilding in the burned civic core; later sources calling the building fireproof are not treated as proof of complete fire resistance.,Andreas and Chamberlin list it among 1873 completions; contemporary 1872 evidence shows construction underway. It had about 90 feet on Clark and 75 on Washington before later vertical enlargement.,high,false
CHI-POSTFIRE-CHI1873-012,CHI1873-012,1873,Revere House II,1871,1873,year-only,1873,,,,demolished,"Clark Street near Kinzie Street, north of the former site across an alley",,,,hotel,hotel,,Thomas Mackin,,,,reconstruction,pre-fire Revere House at Clark and Kinzie Streets,"Permanent post-fire replacement, shifted to adjoining premises; no code-specific claim.","Erected in 1871-72 and explicitly completed and opened in 1873 by E. S. Pinney. Later remodeling and two added stories belong to 1884, not this record.",high,false
CHI-POSTFIRE-CHI1873-051,CHI1873-051,1873,Rush Street water-supply tunnel,1873,1873,year-only,1873,,,,extant-altered,under Chicago River near Rush Street bridge,,,,water infrastructure,water-main river crossing,Chicago Board of Public Works contractors,City of Chicago,six-foot internal-diameter tunnel with two shafts,,,infrastructure,,Subsurface municipal infrastructure; building fire-code context not applicable.,"Commenced January 15 and completed May 19 1873 at reported cost $13,279.70; involved an 84-foot shaft at Michigan Avenue and 68-foot shaft at Pine Street connected by a 492-foot drift.",high,false
CHI-POSTFIRE-CHI1873-042,CHI1873-042,1873,Samuel Cole Building,1873,1873,year-only,1873,,,,extant-altered,233 W Lake Street and 185 N Franklin Street,233 W Lake Street,,,commercial loft,wholesale and manufacturing loft,Edward Burling; Dankmar Adler,Samuel Cole,load-bearing masonry; molded architectural terra cotta,4,,new_construction,,Permanent masonry loft in the post-fire wholesale district; official designation emphasizes its early architectural terra cotta rather than a complete fireproof system.,One of the Lake and Franklin Buildings and a rare surviving post-fire mercantile loft; a fifth story was added in 1896.,high,false
CHI-POSTFIRE-CHI1873-007,CHI1873-007,1873,Sherman House III,1871,1873,year-only,1873,,,,demolished,northwest corner Clark and Randolph Streets,,,,hotel,hotel,Charles W. Cregar,Francis C. Sherman interests,stone fronts on Clark and Randolph,7,,reconstruction,Sherman House II destroyed in 1871 fire,Masonry replacement in the post-fire business district; no direct ordinance-compliance statement located.,"Opened May 1, 1873; approximately 300 rooms and capacity for 500 guests. Andreas's architecture summary gives a cost of about $650,000.",high,false
CHI-POSTFIRE-CHI1873-038,CHI1873-038,1873,Singer Building I,1872,1873,year-only,1873,1877,year-only,fire,demolished,northeast corner State and Washington Streets,,,,department store,"Field, Leiter & Company retail dry goods store",,Singer Manufacturing Company,brown Portland sandstone; large open retail floors,6,,new_construction,"Field, Leiter & Company store destroyed in 1871",The August 1873 construction-stage fire exposed risks in the large open interior and vertical elevator passage despite a masonry exterior.,"Approximately 150 feet on Washington by 160 on State; reported cost $500,000. The building suffered a major roof and upper-floor fire on August 2 1873 immediately before the store opening, was repaired, and burned again in 1877.",high,false
CHI-POSTFIRE-CHI1873-005,CHI1873-005,1873,St. James Hotel,,1873,year-only,1873,,,,demolished,,,,,hotel,hotel,,,,,,reconstruction,pre-fire St. James Hotel,Permanent hotel rebuilding in the burned commercial core; direct ordinance compliance not established.,Named by Andreas among prominent edifices completed in 1873; the hotel-history chapter was insufficiently specific on address and fabric.,medium,true
CHI-POSTFIRE-CHI1873-030,CHI1873-030,1873,St. Paul's Universalist Church,1872,1873,year-only,1873,,,,demolished,Michigan Avenue between Sixteenth and Eighteenth Streets,,,,church,Universalist worship,,First Universalist Church,solid stone; modern Gothic,,,reconstruction,First Universalist Church at Van Buren and Wabash lost in 1871 fire,"Solid-stone post-fire replacement; spire remained incomplete, so completion refers to the usable main edifice.","Building began in 1872 and the house of worship was completed in summer 1873; reported cost including lot, organ and furniture about $180,000.",high,false
CHI-POSTFIRE-CHI1873-047,CHI1873-047,1873,Third Avenue School,1873,1873,year-only,1873,,,,demolished,State Street at Elm Street,,,,school,public school,,Chicago Board of Education,brick; furnaces,3,,new_construction,,Brick public-school construction in the post-fire expansion period; code-specific evidence not stated.,"Andreas's construction table records a 60-by-94-foot three-story brick building with 761 sittings and total value $26,250; the later site table associates Third Avenue School with State and Elm.",high,true
CHI-POSTFIRE-CHI1873-006,CHI1873-006,1873,Tremont House IV,1871,1873,year-only,1873,,,,demolished,Lake and Dearborn Streets,,,,hotel,hotel,J. M. Van Osdel,Couch estate,Amherst sandstone front; French Renaissance,6,,reconstruction,Tremont House III destroyed in 1871 fire,Substantial stone-front replacement in the fire district; source does not equate material with complete fireproofing.,"Completed two years after the fire and opened in 1873; nearly 50,000 square feet of ground and over 500 feet of frontage; contemporary cost summarized as about $500,000 in Andreas's architecture chapter.",high,false
CHI-POSTFIRE-CHI1873-029,CHI1873-029,1873,Unity Church II,1872,1873,year-only,1873,,,,demolished,old Unity Church site,,,,church,Unitarian worship,,Unity Church society,,,,reconstruction,Unity Church destroyed in 1871 fire,Rebuilt on the old site; source reports reconstruction cost but no ordinance-specific construction detail.,"Lecture room was usable in winter 1872-73; full house dedicated December 7, 1873; reconstruction including organ cost about $91,737.",high,true
CHI-POSTFIRE-CHI1873-048,CHI1873-048,1873,Vedder Street School,1873,1873,year-only,1873,,,,demolished,Vedder Street,,,,school,public school,,Chicago Board of Education,brick; furnaces,3,,new_construction,,Brick public-school construction in the post-fire expansion period; code-specific evidence not stated.,"Andreas's table records a 70-by-82-foot three-story brick building with 756 sittings and total value $26,250.",high,true
CHI-POSTFIRE-CHI1873-043,CHI1873-043,1873,William Rowney Building,1873,1873,year-only,1873,,,,extant,235 W Lake Street and 189 N Franklin Street,235 W Lake Street,,,commercial loft,wholesale and manufacturing loft,Edward Burling; Dankmar Adler,William Rowney,load-bearing masonry; Italianate commercial loft,4,,new_construction,,Permanent masonry loft in the post-fire wholesale district; direct fireproof-system evidence was not located.,One of the officially designated Lake and Franklin Buildings and a surviving component of the city's largest intact 1870s mercantile-loft ensemble.,high,false
CHI-POSTFIRE-CHI1873-052,CHI1873-052,1873,New lake-tunnel land extension,1873,1874,year-only,1874,,,,extant-altered,from lake tunnel across the city to planned West pumping works,,,,water infrastructure,water supply conveyance,Chicago Board of Public Works contractors,City of Chicago,subsurface tunnel with working and fire shafts,,,construction_start,,Subsurface municipal infrastructure; building fire-code context not applicable.,"Department ordered commencement in July 1873; working shafts were sunk at Illinois, Franklin, Polk and Waller Streets and fire shafts at Erie, Kinzie, Market and Taylor. Land and water structures were completed July 7 1874.",high,false
CHI-POSTFIRE-CHI1873-024,CHI1873-024,1873,Trinity Episcopal Church,1873,1874,year-only,1874,,,,demolished,Michigan Avenue and Twenty-sixth Street,,,,church,Episcopal worship,,Trinity Episcopal parish,stone; clerestory Gothic,,,cornerstone_and_construction_phase,Trinity church-edifice lost in 1871 fire,Stone replacement after the fire; completion belongs to 1874.,"Cornerstone laid July 1873; opened November 22, 1874; seating capacity 1,000 and reported cost $100,000. Counted as a 1873 phase, not a completion.",high,false
CHI-POSTFIRE-CHI1873-041,CHI1873-041,1873,Washington Block,1873,1874,year-only,1874,,,,extant,southwest corner Washington Street and Fifth Avenue,40 N Wells Street,41.8828166,-87.6341543,commercial office building,professional and commercial offices,Frederick & Edward Baumann,,limestone facade; isolated-pier foundations,5,,construction_phase,,"A permanent post-fire office building; its isolated-pier foundation is a structural advance, distinct from claims of fireproofing.","Official city findings date construction to 1873-1874. An October 1873 newspaper account found it approaching completion, so this is a start/progress row rather than a 1873 completion.",high,false
CHI-POSTFIRE-CHI1873-027,CHI1873-027,1873,Chicago Avenue Church,1873,1875,year-only,1875,,,,demolished,Chicago and LaSalle Avenues,,,,church,evangelical worship,,Chicago Avenue Church society,two stories and basement,2,,basement_phase,Illinois Street Tabernacle destroyed in 1871 fire,"Rebuilding began in 1873, but the panic limited that year's work to a roofed basement used temporarily.","Present building begun in 1873; only basement completed under a temporary roof, used for two years; full structure dedicated June 1875.",high,false
CHI-POSTFIRE-CHI1873-025,CHI1873-025,1873,St. James's Episcopal Church,1872,1875,year-only,1875,,,,extant-altered,Cass Street at Huron Street,,,,church,Episcopal worship,,St. James Episcopal parish,masonry church,,,interrupted_reconstruction_phase,St. James church damaged/destroyed in 1871 fire,"The 1873 financial crisis, not a code action, stopped work; completed fabric belongs to 1875.",Rebuilding moved vigorously forward until the financial crisis of 1873 caused complete suspension; work resumed in 1874 and first service in the completed building occurred in 1875.,high,true
CHI-POSTFIRE-CHI1873-016,CHI1873-016,1873,United States Post Office and Custom House,1873,1879,year-only,,,,,demolished,"block bounded Adams, Clark, Jackson and Dearborn Streets",,,,government building,"post office, customs, federal offices",,United States Government,,,,construction_start,,Andreas places the start within the post-fire reconstruction of public buildings; later completion must not be counted in 1873.,"Construction commenced in 1873. This is a start-year record only; design, contract, and completion details require federal archival follow-up.",high,true
CHI-POSTFIRE-CHI1873-014,CHI1873-014,1873,Brevoort House,,,occupancy-only,1873,,,,demolished,,,,,hotel,hotel,,unnamed Chicago banker,,5,,occupancy_only,,No 1873 construction inference is made from opening evidence alone.,Opened by Anderson Brothers in 1873; Andreas says it was built by a prominent banker but gives no construction year. Excluded from completion totals.,medium,true
CHI-POSTFIRE-CHI1873-017,CHI1873-017,1873,Cook County Criminal Court House and County Jail,1873,,phase,,,,,demolished,Michigan Street at Dearborn Street,,,,courthouse and jail,criminal court and incarceration,,Cook County,,,,construction_start,,Public masonry reconstruction after the fire; ordinance-specific evidence not located.,Andreas states that the connected courthouse and jail reconstruction commenced in 1873. Completion year and exact parcel geometry remain to be verified from county records.,high,true
CHI-POSTFIRE-CHI1873-037,CHI1873-037,1873,Honoré Hotel reconstruction,1873,,phase,,,,,demolished,northwest corner Dearborn and Adams Streets,,,,hotel,planned hotel; later post office and offices,Wheelock & Thomas,Henry H. Honoré,Joliet stone front; Renaissance style,6,,construction_start,pre-fire Honoré building destroyed in 1871,Masonry reconstruction in the burned core; the prolonged unfinished interior shows why exterior completion and occupancy must remain separate.,"Chamberlin called the hotel a fine structure of the year ending October 9 1873, but a later detailed account says reconstruction began in summer 1873 and stopped unfinished for lack of funds. Modeled only as a 1873 construction phase.",medium,true
CHI-POSTFIRE-CHI1873-031,CHI1873-031,1873,Mariners' Temple,1873,,phase,1873,,,,demolished,near Michigan and Market Streets,,,,mixed-use religious and lodging building,"church, sailors' home, stores",,Western Seamen's Friend Society,brick; five stories,5,,partial_completion_and_occupancy,"Bethel/Mariners' Church destroyed October 9, 1871",Enlarged brick replacement after the fire; only one story was finished in 1873.,"Cornerstone laid July 1873; five-story shell enclosed and one story finished, permitting church, Sunday-school and a 25-boarder sailors' home to operate. Not counted as a fully completed building.",high,false
CHI-POSTFIRE-CHI1873-034,CHI1873-034,1873,South Park preliminary works,1873,,phase,,,,,extant-altered,South Park lands south of the built-up city,,,,park infrastructure,public park,Frederick Law Olmsted and Calvert Vaux,South Park Commission,landscape and drainage works,,,preliminary_site_work,,Municipal landscape infrastructure; building-code context not applicable.,"Library of Congress curatorial history states that economic recession delayed preliminary construction until 1873 and that only limited progress occurred. Include as named city-form work, not as a building completion.",medium,true
CHI-POSTFIRE-CHI1873-033,CHI1873-033,1873,St. Mary's Church,,,occupancy-only,1873,,,,demolished,Wabash Avenue and Eldridge Court,,,,church,Catholic worship,,Roman Catholic Diocese of Chicago,,,,conversion,Plymouth Congregational Church building,Change of ownership and use rather than new construction.,"Bishop Foley purchased the Plymouth Church property in spring 1873; first Catholic service October 6, and it served as pro-cathedral until 1876. Excluded from completion totals.",high,false
CHI-POSTFIRE-CHI-1874-008,CHI-1874-008,1874,A. S. Piper & Co. ice-tool factory,1874,1874,exact year,1874,,,,later fate unknown,Ogden Avenue and Leavitt Street,,,,industrial factory,"ice tools, specialized wagons, and related equipment",,A. S. Piper & Co.,,,,new_construction,,West-side industrial location; fire-limit applicability needs parcel-level confirmation.,Andreas describes a large building erected in 1874 where the firm began manufacturing ice-industry tools and wagons.,high,false
CHI-POSTFIRE-CHI-1874-023,CHI-1874-023,1874,Adelphi Theatre conversion,1874,1874,exact reopening date,1874,1874,exact date,"destroyed in July 14, 1874 fire",destroyed,Northwest corner of Wabash Avenue and Congress Street,,,,theatre,variety theatre,conversion by Leonard Grover,George White and Frederick Clark (property); Leonard Grover (lessee),masonry theatre with combustible interior unknown,,,conversion_and_reopening,"Aiken's Theatre opened October 7, 1872",Within the 1871 fire limits; the 1874 destruction exposed continuing vulnerability of rebuilt structures.,"Leonard Grover converted Aiken's into the Adelphi and reopened it February 3, 1874. It was totally destroyed July 14 and never rebuilt.",high,false
CHI-POSTFIRE-CHI-1874-003,CHI-1874-003,1874,American Express Company Building,1872,1874,opening-supported completion,1874,1930,exact year,fire damage and demolition,demolished,72-78 Monroe Street,21-29 W Monroe St,,,commercial office and freight building,"express-company offices, freight handling, stores, halls",Henry Richardson,American Express Company,masonry with hardwood interior construction,6,,completion_and_opening_phase,post-fire replacement for company quarters,Within the 1871 fire limits; six-story post-fire commercial construction.,"The company announced removal into its new building on February 2, 1874. The Land Owner described a 90-by-190-foot, six-story-and-basement building begun in 1872; occupancy is direct, construction completion is inferred from the move-in and contemporary illustration.",high,false
CHI-POSTFIRE-CHI-1874-007,CHI-1874-007,1874,C. J. L. Meyer Chicago factory,1874,1874,exact year,1874,,,,later fate unknown,North Pier,,,,industrial millwork factory,"stairs, railings, balusters, sash, doors, and window frames",,C. J. L. Meyer,,,,new_construction,,Post-fire industrial construction; exact fire-limit location and structural material require confirmation.,"Andreas states that Meyer erected a Chicago factory in 1874 and links it with a large North Pier lumber yard. Address, dimensions, and structural system are not given.",medium,true
CHI-POSTFIRE-CHI-1874-025,CHI-1874-025,1874,Calumet & Chicago Canal & Dock Company railroad grading and track,1874,1874,annual infrastructure phase,1874,,,,later incorporated into rail network,"From Chicago, Rock Island & Pacific line about ten miles from the city to Calumet River harbor",,,,railroad infrastructure,freight and harbor connection,,"Calumet & Chicago Canal & Dock Company; Chicago, Rock Island & Pacific Railroad",graded roadbed and rail track,,,infrastructure_phase,none identified,Largely outside the 1874 municipal limits; ordinary city building-code rules may not apply.,"The company had graded a six-and-one-half-mile road to the Calumet harbor and conveyed it to the Rock Island company, which laid track during 1874. Included as a metropolitan infrastructure phase but flagged because much of the alignment lay beyond city limits.",medium,true
