relationship_id,from_building_id,to_building_id,to_building_name,relationship_type,resolution_status,notes
CHI-POSTFIRE-CHI1876-011-R01,CHI-POSTFIRE-CHI1876-011,,New England Congregational Church damaged or destroyed in the Great Chicago Fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-013-R01,CHI-POSTFIRE-CHI1876-013,,Sinai synagogue at Plymouth Court and Van Buren Street destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-014-R01,CHI-POSTFIRE-CHI1876-014,,St. James's Episcopal Church reconstruction completed in 1875,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-015-R01,CHI-POSTFIRE-CHI1876-015,,Pre-existing frame building purchased by the parish,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-016-R01,CHI-POSTFIRE-CHI1876-016,,St. John's Catholic Church,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-022-R01,CHI-POSTFIRE-CHI1876-022,,Bemis and McAvoy brewery complex,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-023-R01,CHI-POSTFIRE-CHI1876-023,,Earlier Michael Brand brewery location,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-024-R01,CHI-POSTFIRE-CHI1876-024,,Commercial and library building erected on the old Clifton House site,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-026-R01,CHI-POSTFIRE-CHI1876-026,,Existing Lincoln Park pier,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-028-R01,CHI-POSTFIRE-CHI1876-028,,First Baptist Church main building completed in 1875,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-001-R01,CHI-POSTFIRE-CHI1877-001,,Court House and City Hall destroyed in 1871; temporary Rookery City Hall occupied 1872-1885,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-002-R01,CHI-POSTFIRE-CHI1877-002,,Fuller Street bridge destroyed by storm,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-008-R01,CHI-POSTFIRE-CHI1877-008,,Temporary frame church on the same lot,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-009-R01,CHI-POSTFIRE-CHI1877-009,,"Successive J. K. Russell mills destroyed by fires in 1852, 1856, 1860, 1868, and 1869; interim warehouse factory",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-010-R01,CHI-POSTFIRE-CHI1877-010,,"Reedy factory rebuilt after the 1871 fire and burned again October 14, 1877",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-011-R01,CHI-POSTFIRE-CHI1877-011,,Wooden 1869 St. Stanislaus Kostka church,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-014-R01,CHI-POSTFIRE-CHI1877-014,,Chicago Historical Society building destroyed in the 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-017-R01,CHI-POSTFIRE-CHI1877-017,,Perry H. Smith pre-fire Pine Street residence destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-022-R01,CHI-POSTFIRE-CHI1877-022,,"Interstate Exposition Building of 1873; temporary relocation after Singer Building fire of Nov. 14, 1877",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1877-026-R01,CHI-POSTFIRE-CHI1877-026,,Federal custom house and post office destroyed in the 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1878-001-R01,CHI-POSTFIRE-CHI1878-001,,Temporary post-fire frame St. Joseph's church; pre-fire church destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1878-002-R01,CHI-POSTFIRE-CHI1878-002,,Earlier crossing at North Avenue,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1878-006-R01,CHI-POSTFIRE-CHI1878-006,,Court House and City Hall destroyed in 1871; temporary Rookery City Hall occupied 1872-1885,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1878-007-R01,CHI-POSTFIRE-CHI1878-007,,Federal post office and custom house destroyed in the Great Chicago Fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1878-009-R01,CHI-POSTFIRE-CHI1878-009,,"Academy of Music I, destroyed by fire February 4-5, 1878",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1878-013-R01,CHI-POSTFIRE-CHI1878-013,,House of the Good Shepherd post-fire building erected 1872,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1878-015-R01,CHI-POSTFIRE-CHI1878-015,,"Third Presbyterian Church at Washington and Carpenter Streets, sold in 1877",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1878-026-R01,CHI-POSTFIRE-CHI1878-026,,"New Adelphi Theater opened January 11, 1875 in the old post-office walls",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1878-027-R01,CHI-POSTFIRE-CHI1878-027,,"Foley's Billiard Hall, later garden and vaudeville theater",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-002-R01,CHI-POSTFIRE-CHI1879-002,,Singer Building destroyed by fire and replaced in 1878,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-003-R01,CHI-POSTFIRE-CHI1879-003,,1859 Custom House and Post Office destroyed in the Great Chicago Fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-012-R01,CHI-POSTFIRE-CHI1879-012,,LaSalle Street tunnel,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-015-R01,CHI-POSTFIRE-CHI1879-015,,Chicago municipal fire-alarm system,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-016-R01,CHI-POSTFIRE-CHI1879-016,,Bemis & McAvoy brewery complex,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-017-R01,CHI-POSTFIRE-CHI1879-017,,Bemis & McAvoy brewery complex,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-018-R01,CHI-POSTFIRE-CHI1879-018,,Holy Family Church complex,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-019-R01,CHI-POSTFIRE-CHI1879-019,,Academy of the Sacred Heart,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-021-R01,CHI-POSTFIRE-CHI1879-021,,"Pre-existing church building acquired September 1, 1879",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-023-R01,CHI-POSTFIRE-CHI1879-023,,Metropolitan Theatre,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1879-024-R01,CHI-POSTFIRE-CHI1879-024,,Farwell Hall YMCA,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
